_description,_OUTPUT,averageAgeDiff,shotTotalDiff,shotOnGoalDiff,passTotalDiff,passLongDiff,passSuccessDiff,passForwardDiff,passBackwardDiff,passTargetFinalThirdDiff,passTargetMiddleThirdDiff,passTargetDefensiveThirdDiff,cornerFavourDiff,cornerAgainstDiff,foulReceivedDiff,foulCommitedDiff,assistShotDiff,assistShotIntentionalDiff,assistShotIntentionalGoalDiff,crossFavourTotalDiff,crossFavourSuccessDiff,crossAgainstTotalDiff,offsideCommittedDiff,offsideReceivedDiff,possessionAttackDiff,possessionTotalDiff,possessionDefenceDiff,interceptionDiff,cardYellowDiff,cardRedDiff,tackleTotalDiff,tackleSuccessDiff,dribbleTotalDiff,dribbleSuccessDiff,goalDiff
Almeria v Athletic Club,2,0.60,-4,-1,50,5,50,25,39,41,38,-14,3,-3,-7,7,0,0,0,3,-1,0,1,0,83,39,-44,-2,-1,0,2,2,-7,0,-2
Almeria v Atletico,0,1.00,-3,-2,-56,14,-47,-38,-18,-26,-48,17,-2,2,0,0,0,0,0,3,0,0,2,0,-61,-42,19,5,-1,0,10,4,-6,-6,0
Almeria v Barcelona,1,-0.10,-10,-4,-243,-7,-245,-139,-117,-128,-97,-31,-3,3,-4,4,0,0,0,-15,-5,0,0,0,-227,-259,-32,3,0,0,18,7,-12,-11,0
Almeria v Deportivo,1,-0.70,-1,1,-45,-11,-39,-5,-33,-6,-10,-27,2,-2,-3,3,0,0,0,9,0,0,1,0,13,-43,-56,7,1,0,-5,-2,2,3,0
Almeria v Espanyol,2,1.80,-1,-1,10,3,11,15,15,45,2,-16,2,-2,-2,2,0,0,0,17,4,0,3,0,64,21,-43,10,-2,0,1,-1,-1,-2,0
Almeria v Getafe,0,-1.00,-6,-5,-130,-23,-116,-72,-66,-71,-46,-18,-7,7,-5,5,0,0,0,-8,1,0,1,0,-87,-134,-47,1,0,0,-3,-5,0,-2,0
Almeria v Malaga,0,-0.40,-4,0,43,1,49,28,16,0,45,1,-2,2,0,0,0,0,0,1,0,0,0,0,32,38,6,7,1,0,-7,-6,-2,1,0
Almeria v Mallorca,1,-1.10,-1,0,-8,28,-6,-35,30,-11,-10,17,0,0,-5,5,0,0,0,-2,4,0,-1,0,-27,-11,16,2,0,0,0,1,2,1,1
Almeria v Osasuna,0,-1.40,-1,1,-11,-4,3,5,-7,-1,14,-14,2,-2,-2,2,0,0,0,17,5,0,-1,0,31,0,-31,3,0,0,-1,1,2,2,-1
Almeria v Racing,1,-1.40,-1,-3,29,-1,23,26,20,12,26,9,-1,1,1,-1,0,0,0,4,2,0,0,0,17,26,9,4,-1,0,-6,0,7,6,1
Almeria v Real Madrid,2,1.40,-12,-7,-150,-4,-155,-81,-68,-60,-91,2,-1,1,-1,1,0,0,0,1,-1,0,1,0,-132,-153,-21,-3,1,0,16,7,-12,-9,0
Almeria v Sevilla,2,0.40,5,2,22,12,31,0,17,7,-2,14,0,0,3,-3,0,0,0,2,2,0,0,0,33,42,9,1,0,0,2,2,-1,0,0
Almeria v Sporting Gijon,0,-0.20,0,-4,62,11,52,29,31,-24,72,11,-1,1,9,-9,0,0,0,0,1,0,1,0,35,72,37,-3,-4,1,4,9,2,5,1
Almeria v Tenerife,1,-0.80,3,2,24,2,33,13,19,-21,50,2,6,-6,8,-8,0,0,0,7,7,0,0,0,14,18,4,-3,-3,0,6,1,-7,-5,-1
Almeria v Valencia,2,-0.80,-5,-1,-77,-7,-75,-52,-31,-28,-41,-13,-1,1,-1,1,0,0,0,-5,-1,0,1,0,-45,-73,-28,14,-2,0,3,-1,-5,-4,0
Almeria v Valladolid,1,-0.10,2,2,28,6,33,20,17,9,11,17,2,-2,3,-3,0,0,0,14,1,0,3,0,23,39,16,0,-1,-1,-5,-1,3,4,0
Almeria v Villarreal,0,-0.70,3,-3,27,8,32,11,31,24,-1,17,4,-4,-3,3,0,0,0,9,4,0,2,0,27,44,17,6,0,-1,-9,-9,7,0,3
Almeria v Xerez,0,-0.80,-2,-2,126,-6,134,73,62,14,107,12,0,0,-2,2,0,0,0,2,1,0,-1,0,73,124,51,-1,2,0,-4,-3,1,1,0
Almeria v Zaragoza,0,-0.60,-5,-5,4,21,10,-9,29,16,20,-17,1,-1,2,-2,0,0,0,8,2,0,4,0,42,25,-17,-3,-1,0,-4,3,5,7,0
Athletic Club v Almeria,0,0.10,13,4,-66,-3,-64,-22,-32,21,-84,7,6,-6,5,-5,0,0,0,10,9,0,-3,0,-16,-46,-30,1,-1,0,-3,1,2,4,2
Athletic Club v Atletico,0,0.00,2,2,-76,-6,-63,-35,-26,-6,-46,-13,0,0,4,-4,0,0,0,6,2,0,2,0,-1,-62,-61,12,-2,0,-7,-1,8,6,1
Athletic Club v Barcelona,1,1.20,0,-2,-122,2,-130,-55,-63,8,-125,-1,0,0,-1,1,0,0,0,6,0,0,1,0,-74,-129,-55,2,0,0,15,12,-11,-3,0
Athletic Club v Deportivo,0,-1.50,7,3,14,4,9,8,15,71,-36,-12,8,-8,0,0,0,0,0,10,3,0,-1,0,85,16,-69,1,0,0,-10,-4,10,6,1
Athletic Club v Espanyol,0,-0.10,3,4,-86,-13,-95,-38,-36,17,-60,-31,5,-5,3,-3,0,0,0,5,1,0,-1,0,-10,-98,-88,-3,-1,0,-5,-3,6,2,0
Athletic Club v Getafe,1,-1.00,-2,-2,-107,2,-97,-75,-26,-11,-98,7,0,0,0,0,0,0,0,3,0,0,3,0,-67,-114,-47,6,-1,1,6,0,-7,-6,0
Athletic Club v Malaga,1,-1.00,2,1,12,5,4,15,18,33,-10,9,-3,3,5,-5,0,0,0,5,5,0,-4,0,13,-6,-19,-7,-2,0,-3,-1,4,2,0
Athletic Club v Mallorca,2,-2.10,-3,-3,25,3,25,16,15,9,4,17,0,0,6,-6,0,0,0,6,0,0,-1,0,2,35,33,-4,-2,0,-1,0,2,1,0
Athletic Club v Osasuna,0,-1.90,4,-1,3,-6,6,-14,0,-23,-15,24,1,-1,-3,3,0,0,0,-5,3,0,1,0,-26,17,43,3,-1,0,2,3,-1,1,2
Athletic Club v Racing,0,-0.60,3,1,-15,4,-25,-2,7,24,-8,-12,7,-7,5,-5,0,0,0,10,4,0,-3,0,14,-22,-36,-2,-1,0,-8,-4,8,4,1
Athletic Club v Real Madrid,0,-0.10,-2,-2,-142,3,-146,-105,-44,-30,-94,-26,1,-1,-6,6,0,0,0,-5,2,0,0,0,-100,-133,-33,2,0,0,9,8,-8,-1,1
Athletic Club v Sevilla,2,-1.00,0,2,18,-6,19,-2,28,12,-1,15,3,-3,-4,4,0,0,0,5,1,0,2,0,9,21,12,3,1,0,1,0,1,-1,-3
Athletic Club v Sporting Gijon,2,0.00,9,4,-3,-9,2,-5,-1,-12,-4,8,0,0,4,-4,0,0,0,2,1,0,0,0,20,24,4,10,0,0,-6,2,8,8,0
Athletic Club v Tenerife,0,-1.20,5,3,-8,3,7,14,-4,25,-22,7,3,-3,2,-2,0,0,0,14,3,0,1,0,21,-1,-22,-3,-1,-1,3,6,3,3,2
Athletic Club v Valencia,2,-2.20,-1,-1,-95,0,-93,-59,-26,-11,-69,-6,-1,1,0,0,0,0,0,4,0,0,0,0,-37,-103,-66,2,-2,0,-2,-1,2,1,0
Athletic Club v Valladolid,0,0.10,3,2,-26,-2,-24,-13,-10,16,-32,-6,3,-3,3,-3,0,0,0,8,5,0,2,0,23,-23,-46,3,0,0,4,5,1,1,2
Athletic Club v Villarreal,0,-2.10,9,4,-67,-14,-78,-29,-23,22,-59,-21,0,0,0,0,0,0,0,3,3,0,0,0,19,-66,-85,-2,-4,0,-6,-3,0,3,2
Athletic Club v Xerez,0,-2.30,-2,2,44,18,44,42,23,66,-9,9,3,-3,4,-4,0,0,0,17,4,0,1,0,76,39,-37,9,-3,0,-6,-5,6,1,-1
Athletic Club v Zaragoza,1,-1.20,1,0,-11,1,2,-10,-2,11,-39,15,0,0,-3,3,0,0,0,1,0,0,0,0,3,1,-2,10,0,0,-6,-5,1,1,0
