_description,_OUTPUT,averageAgeDiff,shotTotalDiff,shotOnGoalDiff,passTotalDiff,passLongDiff,passSuccessDiff,passForwardDiff,passBackwardDiff,passTargetFinalThirdDiff,passTargetMiddleThirdDiff,passTargetDefensiveThirdDiff,cornerFavourDiff,cornerAgainstDiff,foulReceivedDiff,foulCommitedDiff,assistShotDiff,assistShotIntentionalDiff,assistShotIntentionalGoalDiff,crossFavourTotalDiff,crossFavourSuccessDiff,crossAgainstTotalDiff,offsideCommittedDiff,offsideReceivedDiff,possessionAttackDiff,possessionTotalDiff,possessionDefenceDiff,interceptionDiff,cardYellowDiff,cardRedDiff,tackleTotalDiff,tackleSuccessDiff,dribbleTotalDiff,dribbleSuccessDiff,goalDiff
Arles-Avignon v Auxerre,2,1.50,-3,-1,3,-2,-11,11,-13,-16,18,-4,1,-1,-1,1,-3,-3,-1,-4,-2,0,0,0,-20,-9,11,-1,0,0,0,2,3,2,-2
Arles-Avignon v Bordeaux,2,2.80,-10,-3,-128,-15,-137,-83,-68,-67,-60,-24,-3,3,-5,5,-5,-5,0,-18,-5,0,0,0,-112,-152,-40,-4,1,1,8,6,-1,-2,-1
Arles-Avignon v Brest,1,0.90,-1,-4,-51,10,-60,-21,-27,18,-27,-40,-1,1,1,-1,-3,-1,1,-2,2,0,2,0,1,-57,-58,-4,1,0,12,6,-10,-6,1
Arles-Avignon v Caen,0,1.90,3,0,-13,-2,-8,6,-25,-14,-3,-3,-2,2,-2,2,3,4,1,0,4,0,-1,0,-13,-4,9,-1,-1,0,0,0,-2,0,1
Arles-Avignon v Lens,2,-0.40,-1,0,85,2,76,48,27,9,59,6,-2,2,2,-2,-1,-1,0,-2,0,0,-2,0,26,89,63,5,0,0,11,7,-5,-4,0
Arles-Avignon v Lille,2,1.00,3,-1,-35,-10,-42,-18,-10,18,-27,-20,0,0,-2,2,1,-2,0,1,0,0,-1,0,22,-31,-53,3,-1,0,-8,-3,8,5,0
Arles-Avignon v Lorient,1,0.90,2,1,-59,-13,-66,-29,-39,-26,-40,0,-1,1,-6,6,2,4,1,-6,1,0,-1,0,-57,-64,-7,5,1,0,3,2,1,-1,-1
Arles-Avignon v Lyon,1,2.60,4,1,-117,-4,-114,-83,-44,-16,-79,-33,0,0,0,0,0,-1,0,-4,0,0,-3,0,-28,-112,-84,3,-2,0,-3,0,9,3,1
Arles-Avignon v Marseille,2,0.50,3,4,-61,-17,-51,-43,-14,-17,-33,-7,5,-5,-1,1,1,3,-1,3,2,0,0,0,-39,-58,-19,3,2,0,7,3,-10,-4,-2
Arles-Avignon v Monaco,2,1.10,-3,-2,-21,2,-25,-15,-12,0,-25,-3,-1,1,2,-2,0,0,0,-7,0,0,0,0,-17,-14,3,9,0,1,-2,-2,5,0,-1
