_description,_OUTPUT,averageAgeDiff,shotTotalDiff,shotOnGoalDiff,passTotalDiff,passLongDiff,passSuccessDiff,passForwardDiff,passBackwardDiff,passTargetFinalThirdDiff,passTargetMiddleThirdDiff,passTargetDefensiveThirdDiff,cornerFavourDiff,cornerAgainstDiff,foulReceivedDiff,foulCommitedDiff,assistShotDiff,assistShotIntentionalDiff,assistShotIntentionalGoalDiff,crossFavourTotalDiff,crossFavourSuccessDiff,crossAgainstTotalDiff,offsideCommittedDiff,offsideReceivedDiff,possessionAttackDiff,possessionTotalDiff,possessionDefenceDiff,interceptionDiff,cardYellowDiff,cardRedDiff,tackleTotalDiff,tackleSuccessDiff,dribbleTotalDiff,dribbleSuccessDiff,goalDiff
AC Ajaccio v Auxerre,0,2.20,4,3,126,3,112,83,46,46,75,10,1,-1,-1,1,1,-1,0,3,1,0,1,0,110,119,9,-5,0,0,5,1,-4,-4,1
AC Ajaccio v Bordeaux,2,1.80,-10,-4,-9,0,-18,-6,-18,-38,-9,25,-6,6,-3,3,-7,-2,-2,-10,-3,0,0,0,-56,-22,34,3,0,0,4,2,-4,-2,-2
AC Ajaccio v Brest,1,4.00,4,4,107,1,86,84,47,78,33,20,6,-6,-3,3,0,0,0,11,0,0,2,0,84,92,8,-3,0,0,-5,-2,0,3,0
AC Ajaccio v Caen,1,0.80,1,0,73,2,59,47,38,33,25,28,1,-1,1,-1,0,-1,0,6,-1,0,-2,0,59,68,9,-2,0,0,-3,-2,-4,1,0
AC Ajaccio v Dijon,0,3.50,-5,-5,35,-5,20,29,18,13,15,17,1,-1,1,-1,-3,-4,0,6,-1,0,-1,0,-2,37,39,-4,0,0,-4,-6,-2,-2,0
AC Ajaccio v Evian,1,-0.20,-7,-1,-34,-15,-40,-19,-29,-32,1,-17,-6,6,-2,2,-7,-4,1,-8,0,0,1,0,-35,-43,-8,1,1,0,0,0,-3,0,1
AC Ajaccio v Lille,2,1.00,-1,-2,28,9,12,14,11,-4,23,6,0,0,-3,3,-1,0,-1,-4,0,0,2,0,19,22,3,-4,0,0,0,-1,1,-1,0
AC Ajaccio v Lorient,1,2.30,1,2,140,21,142,72,76,31,40,80,1,-1,-6,6,2,2,-1,8,1,0,1,0,38,143,105,-7,1,0,8,8,-9,0,-1
AC Ajaccio v Lyon,1,3.00,2,1,-1,-12,2,-7,3,-12,-2,11,0,0,10,-10,0,1,0,-1,1,0,4,0,-7,7,14,6,0,0,4,4,1,0,0
AC Ajaccio v Marseille,0,0.80,-7,-6,-34,-1,-36,-45,-18,-67,4,-1,-1,1,-3,3,-5,-4,0,-14,-4,0,4,0,-62,-22,40,5,-1,0,5,4,-1,-1,0
AC Ajaccio v Montpellier,2,0.30,0,-1,52,-1,52,41,25,1,26,36,4,-4,0,0,0,-1,-2,6,1,0,2,0,13,58,45,-8,0,0,0,6,3,6,-3
AC Ajaccio v Nancy,1,2.90,5,1,108,2,113,72,43,13,53,49,4,-4,0,0,4,2,0,15,4,0,0,0,37,113,76,-1,0,0,4,2,-1,-2,0
AC Ajaccio v Nice,1,2.20,1,0,99,-6,110,60,53,60,22,31,1,-1,5,-5,0,1,0,7,1,0,5,0,90,104,14,-8,0,0,-1,0,2,1,0
AC Ajaccio v PSG,2,1.10,-4,-2,-100,0,-107,-63,-37,-33,-53,-14,-1,1,0,0,-3,-2,-1,1,-1,0,-1,0,-45,-103,-58,-1,1,0,7,7,-3,0,0
AC Ajaccio v Rennes,0,3.70,-2,1,-21,-11,-24,12,-28,-12,-14,11,2,-2,-6,6,-2,-1,0,5,-2,0,3,0,-20,-13,7,-1,0,0,8,8,-7,0,0
AC Ajaccio v Saint-Etienne,1,3.30,2,1,66,3,62,38,28,-1,48,20,2,-2,3,-3,0,-1,0,1,0,0,2,0,38,59,21,-9,-1,0,-2,-3,2,-1,0
AC Ajaccio v Sochaux,0,4.90,2,0,41,-1,26,27,20,27,0,20,1,-1,8,-8,3,4,0,1,0,0,2,0,3,18,15,-6,0,0,18,13,-11,-5,0
AC Ajaccio v Toulouse,2,4.00,5,3,-56,-1,-55,-10,-42,7,-50,-10,3,-3,2,-2,3,2,-1,7,0,0,2,0,-3,-43,-40,6,1,0,4,5,-8,1,-1
AC Ajaccio v Valenciennes,0,1.20,0,3,50,-6,56,19,21,-19,36,23,-3,3,1,-1,0,-3,-1,-9,-6,0,-3,0,-8,46,54,4,0,0,-9,-7,3,2,-1
Auxerre v AC Ajaccio,0,-0.80,8,3,38,7,49,21,25,58,1,-13,4,-4,6,-6,4,5,0,11,5,0,1,0,86,47,-39,0,-1,0,2,1,1,-1,1
Auxerre v Bordeaux,2,-0.50,1,3,-108,-16,-101,-35,-67,-3,-86,-13,0,0,-1,1,1,0,-2,0,1,0,1,0,-32,-112,-80,-2,-2,0,-3,-4,-6,-1,-3
Auxerre v Brest,0,-1.10,7,0,-57,-9,-60,-36,-10,-5,-36,-6,4,-4,3,-3,5,5,2,6,4,0,2,0,-31,-43,-12,10,0,0,4,2,-6,-2,4
Auxerre v Caen,1,1.20,-4,-5,-13,2,-13,14,-23,12,-14,-7,0,0,-3,3,2,3,0,1,0,0,-1,0,-28,-14,14,2,0,0,-4,-2,1,2,0
Auxerre v Dijon,1,1.10,9,7,101,-3,96,68,47,45,62,9,6,-6,1,-1,5,5,-1,12,5,0,-1,0,108,96,-12,-5,0,0,-3,-1,-2,2,-2
Auxerre v Evian,2,-1.10,2,3,-56,-16,-36,-15,-37,-6,-14,-31,1,-1,1,-1,0,-3,-1,3,-4,0,3,0,16,-44,-60,1,1,0,-9,-6,8,3,-1
