_description,_OUTPUT,averageAgeDiff,shotTotalDiff,shotOnGoalDiff,passTotalDiff,passLongDiff,passSuccessDiff,passForwardDiff,passBackwardDiff,passTargetFinalThirdDiff,passTargetMiddleThirdDiff,passTargetDefensiveThirdDiff,cornerFavourDiff,cornerAgainstDiff,foulReceivedDiff,foulCommitedDiff,assistShotDiff,assistShotIntentionalDiff,assistShotIntentionalGoalDiff,crossFavourTotalDiff,crossFavourSuccessDiff,crossAgainstTotalDiff,offsideCommittedDiff,offsideReceivedDiff,possessionAttackDiff,possessionTotalDiff,possessionDefenceDiff,interceptionDiff,cardYellowDiff,cardRedDiff,tackleTotalDiff,tackleSuccessDiff,dribbleTotalDiff,dribbleSuccessDiff,goalDiff
Arsenal v Aston Villa,0,-0.40,0,-1,-32,-3,-35,-19,-13,17,-53,4,1,-1,-1,1,2,2,1,0,2,0,3,0,0,-16,-16,3,0,0,-5,-4,4,1,1
Arsenal v Burnley,0,-1.30,10,8,188,-26,194,123,77,110,64,30,6,-6,0,0,6,5,0,17,2,0,0,0,185,199,14,-4,-1,0,-22,-9,19,13,0
Arsenal v Chelsea,1,-0.70,3,1,118,-12,130,79,55,74,53,8,2,-2,-1,1,2,0,0,13,1,0,0,0,120,127,7,-1,0,0,-11,-4,5,7,0
Arsenal v Crystal Palace,0,-2.50,7,3,234,-8,234,137,106,91,130,26,3,-3,1,-1,5,2,0,10,2,0,-1,0,197,231,34,-6,1,0,-3,-4,2,-1,0
Arsenal v Everton,0,-1.30,5,3,-60,-20,-54,-24,-29,41,-69,-26,4,-4,-5,5,5,4,1,12,5,0,2,0,-15,-41,-26,10,0,0,10,6,-6,-4,1
Arsenal v Hull,1,-2.00,12,9,189,-17,194,119,70,121,95,-24,3,-3,5,-5,8,3,0,6,1,0,0,0,227,194,-33,2,-1,0,-11,-4,8,7,0
Arsenal v Leicester,0,-2.30,7,6,33,-23,38,27,-4,56,11,-40,-2,2,3,-3,4,1,1,-10,0,0,1,0,91,39,-52,-4,0,0,-4,-3,2,1,2
Arsenal v Liverpool,0,1.60,4,1,92,10,98,51,49,78,36,-14,2,-2,2,-2,1,-2,0,9,2,0,0,0,128,100,-28,10,0,0,-5,-4,5,1,3
Arsenal v Man City,1,-2.70,2,-1,-21,-4,-10,6,-32,23,-49,0,-1,1,5,-5,0,-3,-1,3,-1,0,-1,0,24,-5,-29,3,-2,0,-12,-6,13,6,-1
Arsenal v Man Utd,2,0.40,4,2,30,-30,45,25,6,32,-11,11,0,0,-4,4,5,3,0,3,-1,0,-1,0,26,23,-3,-4,0,0,-3,-1,0,2,0
Arsenal v Newcastle,0,0.20,1,-1,58,-1,57,36,28,68,-19,16,6,-6,0,0,5,4,1,3,1,0,2,0,83,64,-19,0,1,0,7,9,-2,2,1
Arsenal v QPR,0,-1.70,6,3,177,-22,183,115,72,105,79,5,4,-4,6,-6,3,1,1,10,0,0,2,0,186,181,-5,-10,-1,0,-17,-5,15,12,1
Arsenal v Southampton,0,-0.30,4,2,38,-8,42,19,14,-11,35,12,2,-2,6,-6,1,2,0,2,2,0,-1,0,41,53,12,12,-1,0,-12,-6,10,6,0
Arsenal v Stoke,0,-0.60,4,1,38,-3,45,26,9,20,16,0,6,-6,1,-1,5,1,1,5,0,0,1,0,53,59,6,7,0,0,-4,-1,3,3,2
Arsenal v Sunderland,1,-1.00,10,4,225,-32,230,150,85,180,51,6,2,-2,0,0,9,6,0,11,0,0,0,0,257,239,-18,-2,1,0,-14,-2,14,12,0
Arsenal v Swansea,2,-0.10,-1,-2,207,-8,209,128,81,71,137,5,1,-1,0,0,2,2,0,7,3,0,1,0,177,209,32,-1,-1,0,2,-5,-4,-7,0
Arsenal v Tottenham,1,0.80,3,4,143,0,141,83,58,52,97,-2,-1,1,4,-4,1,-1,0,1,-2,0,-1,0,117,140,23,3,1,0,-2,5,3,7,0
Arsenal v West Brom,0,-1.30,14,10,194,-16,206,113,87,112,55,33,4,-4,0,0,11,7,3,6,3,0,-2,0,160,199,39,6,0,0,-1,-3,0,-2,4
Arsenal v West Ham,0,-2.10,9,6,226,-1,205,145,83,103,105,22,3,-3,2,-2,6,4,0,10,3,0,-1,0,187,213,26,3,1,0,-2,0,6,2,1
Aston Villa v Arsenal,2,0.70,-2,1,-146,9,-164,-77,-55,-18,-75,-39,1,-1,0,0,-2,1,-2,2,2,0,0,0,-75,-171,-96,-10,-1,0,2,1,-6,-1,-1
Aston Villa v Burnley,2,-3.00,3,1,81,-6,91,42,48,32,56,2,4,-4,-2,2,4,3,-1,9,3,0,0,0,96,99,3,1,-1,0,-6,-4,4,2,-1
Aston Villa v Chelsea,2,0.40,-4,-3,-8,-1,3,18,-12,12,5,-9,0,0,-3,3,-4,-2,-1,15,1,0,-1,0,31,8,-23,5,1,0,-3,0,5,3,-1
Aston Villa v Crystal Palace,1,-1.40,5,4,226,2,217,126,103,33,162,34,-1,1,2,-2,2,2,0,3,1,0,-1,0,142,217,75,2,0,0,7,5,-2,-2,0
Aston Villa v Everton,0,-0.50,7,3,53,-1,57,18,33,6,74,-30,3,-3,-1,1,6,4,2,2,2,0,-2,0,78,67,-11,7,0,0,0,1,4,1,2
Aston Villa v Hull,0,-0.10,3,0,81,-2,75,56,29,15,66,1,-1,1,-2,2,3,2,1,-7,-1,0,0,0,73,68,-5,-4,-1,0,-5,-5,-1,0,2
Aston Villa v Leicester,0,-0.40,1,1,218,5,228,120,102,23,139,60,0,0,2,-2,3,1,1,-1,1,0,2,0,129,232,103,-3,0,0,-16,-15,6,1,0
Aston Villa v Liverpool,2,2.50,-1,0,-24,12,-22,-1,-18,-2,-6,-11,1,-1,0,0,-1,-1,-1,6,0,0,-3,0,11,-34,-45,-2,0,0,-5,-4,-2,1,-1
Aston Villa v Man City,2,-2.40,-11,-9,-208,2,-200,-130,-98,-83,-110,-36,-6,6,1,-1,-8,-6,0,-16,-5,0,-1,0,-131,-193,-62,7,-1,0,-2,3,8,5,0
Aston Villa v Man Utd,1,-0.60,-3,-2,-146,4,-143,-82,-87,-62,-131,26,-2,2,0,0,-3,-4,0,-12,-2,0,-1,0,-164,-143,21,3,0,0,0,-1,-2,-1,1
Aston Villa v Newcastle,1,2.00,2,0,-67,-7,-62,-31,-31,17,-31,-47,1,-1,-2,2,-1,-1,0,8,1,0,0,0,9,-62,-71,-1,0,0,5,6,0,1,0
Aston Villa v QPR,1,-0.10,8,3,88,14,75,45,44,41,35,15,4,-4,4,-4,4,2,-1,3,1,0,3,0,68,76,8,-4,-2,0,-6,-3,1,3,1
Aston Villa v Southampton,1,1.50,-4,-3,-115,-5,-113,-72,-64,-67,-36,-32,-5,5,-2,2,-6,-8,0,-13,-5,0,-2,0,-91,-127,-36,-1,0,0,1,-1,-4,-2,1
Aston Villa v Stoke,2,-0.10,-4,-4,16,9,8,10,12,-6,16,11,3,-3,3,-3,-4,-2,0,4,1,0,-2,0,-7,11,18,3,-1,0,-1,0,-2,1,0
Aston Villa v Sunderland,1,-1.50,1,-1,80,1,85,52,27,28,53,-1,-2,2,0,0,2,0,0,4,0,0,-2,0,40,87,47,4,1,0,5,5,0,0,0
Aston Villa v Swansea,2,-1.10,-1,-1,-94,10,-102,-44,-58,28,-107,-21,-3,3,-3,3,-1,-2,0,-5,0,0,-4,0,0,-109,-109,-2,0,0,-1,-5,-4,-4,0
Aston Villa v Tottenham,2,1.40,-2,-5,-79,4,-75,-51,-19,-10,-39,-26,-3,3,0,0,-1,2,1,2,3,0,-1,0,-28,-83,-55,-2,0,0,4,-3,-6,-7,1
Aston Villa v West Brom,0,-2.80,5,2,53,-12,64,19,30,8,38,4,-1,1,0,0,6,3,1,-2,1,0,1,0,55,67,12,1,-1,0,0,2,3,2,1
Aston Villa v West Ham,0,-0.50,9,4,122,-4,124,82,51,62,55,17,-1,1,4,-4,7,5,1,9,3,0,0,0,104,132,28,3,1,0,-8,-6,1,2,1
Burnley v Arsenal,2,1.10,-4,0,-164,-2,-154,-99,-67,-28,-106,-33,-1,1,-8,8,0,0,0,0,1,0,0,0,-62,-168,-106,-4,2,0,2,-3,-2,-5,-1
Burnley v Aston Villa,1,0.40,-8,-7,-9,2,-18,5,-22,-3,-23,10,-5,5,2,-2,-10,-5,-1,-9,-3,0,0,0,-28,-16,12,-1,1,0,2,2,3,0,-1
Burnley v Chelsea,2,-0.10,-3,-2,-134,-3,-142,-53,-81,-39,-56,-43,-1,1,1,-1,-3,-1,-1,-5,-1,0,2,0,-89,-140,-51,0,-1,0,10,4,-10,-6,-2
Burnley v Crystal Palace,2,-0.10,0,0,-9,16,-17,-23,3,-6,-14,-1,-2,2,8,-8,0,2,2,-6,-4,0,-1,0,-27,-10,17,-5,-1,0,6,8,-1,2,1
Burnley v Everton,2,-1.80,5,3,-129,-11,-121,-55,-57,41,-70,-82,4,-4,-1,1,-1,-2,0,12,0,0,2,0,76,-126,-202,1,0,0,-2,1,0,3,-1
Burnley v Hull,0,0.00,4,4,67,9,56,36,40,82,-3,-1,4,-4,0,0,4,1,0,10,3,0,0,0,85,43,-42,1,1,0,4,0,0,-4,0
Burnley v Leicester,2,-1.20,2,3,-1,7,14,-6,-4,-9,-7,6,-2,2,1,-1,3,3,0,-3,2,0,1,0,10,26,16,3,0,0,-9,-8,7,1,0
Burnley v Liverpool,2,1.70,5,-1,14,15,21,18,15,88,-9,-46,1,-1,1,-1,2,1,0,13,2,0,-1,0,145,13,-132,-4,0,0,-5,-5,5,0,0
Burnley v Man City,0,-1.30,-2,-3,-212,-1,-199,-131,-95,-54,-145,-27,-2,2,-1,1,1,0,0,-7,2,0,1,0,-126,-204,-78,-4,0,0,-7,-9,5,-2,0
Burnley v Man Utd,1,2.70,4,3,-76,-7,-75,-35,-41,11,-21,-66,1,-1,5,-5,2,0,0,-2,2,0,0,0,-2,-78,-76,-9,-1,0,1,-2,-3,-3,0
Burnley v Newcastle,1,2.40,3,0,-2,-12,-2,-4,2,36,-9,-29,-1,1,-1,1,3,3,1,0,-2,0,0,0,36,-4,-40,2,-1,0,-3,-4,-2,-1,1
Burnley v QPR,0,0.00,-4,-2,-12,-6,-19,-3,-17,-6,-22,7,0,0,0,0,-3,-2,1,-1,0,0,1,0,-12,-25,-13,8,0,0,-3,-4,-2,-1,1
Burnley v Southampton,0,0.90,0,-1,-48,-5,-51,-26,-23,-15,-4,-28,0,0,0,0,-2,-2,0,-7,0,0,0,0,0,-32,-32,7,-2,0,-5,0,6,5,0
Burnley v Stoke,1,-0.40,2,4,-75,4,-80,-33,-43,6,-43,-38,1,-1,-3,3,0,1,0,2,0,0,-3,0,-19,-82,-63,0,0,0,-4,-3,3,1,0
Burnley v Sunderland,1,0.90,1,1,-98,2,-102,-45,-44,35,-61,-61,1,-1,0,0,2,0,0,2,-1,0,0,0,15,-109,-124,3,0,0,1,0,-4,-1,0
Burnley v Swansea,2,0.80,2,3,-51,-12,-46,-35,-21,11,-67,-1,2,-2,-5,5,0,0,0,3,4,0,-1,0,4,-48,-52,-7,0,0,5,3,1,-2,0
Burnley v Tottenham,1,1.80,1,2,-93,-2,-90,-44,-34,28,-71,-35,-1,1,1,-1,-2,3,0,12,6,0,0,0,7,-86,-93,-4,0,0,3,0,-1,-3,0
Burnley v West Brom,1,0.40,1,0,59,-14,74,38,19,6,46,5,-2,2,-1,1,2,1,1,-2,1,0,1,0,-9,87,96,6,-1,0,3,1,-4,-2,1
Burnley v West Ham,2,-0.70,1,1,-47,2,-62,-11,-20,68,-85,-14,0,0,5,-5,0,-1,0,11,5,0,1,0,38,-56,-94,-3,-1,0,2,3,-1,1,0
Chelsea v Arsenal,0,0.50,1,1,-11,5,-16,-11,2,-6,-4,3,1,-1,-1,1,-1,0,0,0,0,0,2,0,-2,-18,-16,-5,-1,0,8,6,-9,-2,1
Chelsea v Aston Villa,0,0.10,5,2,114,7,122,68,56,120,36,-32,4,-4,-2,2,8,5,1,8,3,0,1,0,148,114,-34,-1,1,0,-3,-4,1,-1,1
Chelsea v Burnley,1,-0.50,2,1,147,0,141,82,59,78,30,36,2,-2,1,-1,2,3,1,3,-1,0,0,0,107,154,47,-2,-1,0,-3,2,6,5,1
Chelsea v Crystal Palace,0,-0.80,6,4,74,-11,83,53,14,25,41,3,0,0,0,0,3,1,0,-6,-1,0,-2,0,66,65,-1,-2,0,0,-1,-2,-4,-1,1
Chelsea v Everton,0,0.20,8,3,-27,-11,-13,2,-17,76,-35,-53,3,-3,0,0,8,5,0,17,5,0,1,0,74,-22,-96,-3,-1,0,-10,-7,9,3,0
Chelsea v Hull,0,1.10,-3,0,110,7,99,67,45,37,55,23,0,0,-1,1,0,0,1,-2,1,0,-1,0,36,86,50,-4,0,0,-5,-5,-1,0,1
Chelsea v Leicester,0,0.20,6,1,46,-23,56,28,13,-11,21,32,1,-1,1,-1,4,1,0,-3,2,0,0,0,6,60,54,-5,0,0,-6,-3,1,3,0
Chelsea v Liverpool,1,0.60,-2,0,60,16,57,27,40,19,49,-1,2,-2,2,-2,-1,0,0,2,0,0,-1,0,38,53,15,-1,-1,0,1,-1,-5,-2,0
Chelsea v Man City,1,-3.60,-3,-2,-13,8,-19,-16,3,26,-38,0,-3,3,2,-2,-1,0,1,-3,0,0,-1,0,-6,-24,-18,0,0,0,-3,1,9,4,0
Chelsea v Man Utd,0,1.60,-2,0,-198,-16,-207,-94,-118,-62,-118,-35,-3,3,2,-2,-3,0,1,-10,1,0,1,0,-135,-210,-75,-4,0,0,2,-2,-3,-4,1
Chelsea v Newcastle,0,3.00,-5,-6,130,-10,131,70,51,39,70,12,2,-2,-1,1,-2,2,1,-2,0,0,2,0,72,132,60,-3,-1,0,7,-1,-10,-8,1
Chelsea v QPR,0,-1.80,7,3,125,-10,130,83,55,96,19,27,9,-9,-3,3,6,4,1,10,3,0,1,0,120,125,5,-3,0,0,-7,-6,4,1,1
Chelsea v Southampton,1,1.40,-2,-3,62,-8,49,55,9,42,19,5,-1,1,-1,1,-1,0,1,0,2,0,-2,0,36,36,0,-14,0,0,-8,-10,-3,-2,0
Chelsea v Stoke,0,-0.30,9,4,116,-7,112,86,49,132,40,-34,6,-6,8,-8,7,2,0,10,2,0,1,0,192,113,-79,-6,-3,0,-7,-2,8,5,0
Chelsea v Sunderland,0,-0.70,2,1,135,-4,135,58,88,116,32,1,0,0,1,-1,1,2,-1,12,2,0,-1,0,158,138,-20,-4,0,0,1,3,2,2,0
Chelsea v Swansea,0,-0.70,6,3,-21,-8,-21,11,-20,79,-42,-44,3,-3,5,-5,5,4,1,8,2,0,0,0,62,-45,-107,-4,-2,0,2,1,-2,-1,2
Chelsea v Tottenham,0,1.90,2,2,-43,14,-33,-28,-7,70,-84,-18,-2,2,3,-3,1,4,2,-1,-2,0,0,0,38,-53,-91,1,0,0,-9,-12,5,-3,2
Chelsea v West Brom,0,-1.00,10,8,216,0,216,127,97,98,87,41,7,-7,2,-2,6,6,2,12,2,0,0,0,141,209,68,-8,0,-1,-5,-4,5,1,2
Chelsea v West Ham,0,-0.90,11,7,206,-7,196,132,97,116,99,13,4,-4,4,-4,9,6,0,8,4,0,-1,0,193,190,-3,-6,-2,0,-2,-1,-2,1,1
Crystal Palace v Arsenal,2,1.80,0,1,-37,16,-42,-18,-12,-1,-26,-4,1,-1,0,0,0,1,0,13,1,0,-1,0,-1,-46,-45,3,0,0,10,5,1,-5,-2
