_description,_OUTPUT,averageAgeDiff,shotTotalDiff,shotOnGoalDiff,passTotalDiff,passLongDiff,passSuccessDiff,passForwardDiff,passBackwardDiff,passTargetFinalThirdDiff,passTargetMiddleThirdDiff,passTargetDefensiveThirdDiff,cornerFavourDiff,cornerAgainstDiff,foulReceivedDiff,foulCommitedDiff,assistShotDiff,assistShotIntentionalDiff,assistShotIntentionalGoalDiff,crossFavourTotalDiff,crossFavourSuccessDiff,crossAgainstTotalDiff,offsideCommittedDiff,offsideReceivedDiff,possessionAttackDiff,possessionTotalDiff,possessionDefenceDiff,interceptionDiff,cardYellowDiff,cardRedDiff,tackleTotalDiff,tackleSuccessDiff,dribbleTotalDiff,dribbleSuccessDiff,goalDiff
Arsenal v Aston Villa,2,1.20,2,2,115,-10,123,70,44,22,66,27,0,0,-2,2,4,3,1,4,0,0,2,0,70,130,60,-3,0,0,-9,-3,8,6,0
Arsenal v Cardiff,0,0.50,5,1,132,-4,138,88,49,64,72,1,2,-2,1,-1,5,3,0,4,1,0,-1,0,138,166,28,6,1,0,-9,-5,8,4,0
Arsenal v Chelsea,1,-1.40,-4,-3,89,4,86,44,46,12,47,33,0,0,2,-2,-6,-5,0,3,0,0,1,0,61,108,47,2,0,0,-2,-5,1,-3,0
Arsenal v Crystal Palace,0,-2.20,4,2,297,-2,302,184,120,139,156,10,2,-2,3,-3,3,3,0,2,0,0,-1,0,294,296,2,-7,-1,0,0,-3,-6,-3,0
Arsenal v Everton,1,-0.10,-2,1,-123,-20,-131,-71,-69,-2,-104,-34,-1,1,1,-1,0,2,0,-7,-2,0,2,0,-63,-129,-66,5,-1,0,8,5,-4,-3,0
Arsenal v Fulham,0,-3.60,7,3,42,-19,52,27,12,95,-35,-21,1,-1,3,-3,5,2,0,2,1,0,0,0,129,64,-65,-4,0,0,-5,-1,3,4,0
Arsenal v Hull,0,-1.80,11,5,232,-20,243,145,86,123,104,10,5,-5,-4,4,9,5,1,6,3,0,0,0,218,261,43,-3,0,0,-7,-4,8,3,1
Arsenal v Liverpool,0,0.60,2,0,118,1,102,58,58,76,51,-9,0,0,-2,2,3,3,0,2,0,0,-3,0,102,109,7,-6,0,0,12,10,-7,-2,1
Arsenal v Man City,1,-1.80,-6,-3,-80,0,-75,-39,-37,-25,-64,11,0,0,1,-1,-3,-1,0,1,0,0,2,0,-37,-65,-28,-3,-2,0,-3,-1,7,2,-1
Arsenal v Man Utd,1,-0.70,6,4,33,1,27,34,1,52,-13,-3,0,0,3,-3,6,3,0,-5,3,0,0,0,63,40,-23,0,0,0,-6,-4,8,2,0
Arsenal v Newcastle,0,1.70,8,5,130,-1,133,80,48,50,44,35,7,-7,0,0,4,6,1,4,1,0,-1,0,75,129,54,-2,0,0,-1,-3,-1,-2,2
Arsenal v Norwich,0,0.40,3,0,22,-8,27,18,16,23,15,-5,5,-5,0,0,2,3,1,11,1,0,-1,0,44,25,-19,1,0,0,5,4,-3,-1,1
Arsenal v Southampton,0,2.10,-1,-2,7,-3,8,11,-4,19,-12,2,-3,3,-1,1,-1,-1,0,-3,-3,0,2,0,3,12,9,3,-1,0,-3,-4,6,-1,1
Arsenal v Stoke,0,-2.80,7,4,179,-9,184,85,94,45,106,29,1,-1,2,-2,5,2,1,-2,-1,0,1,0,112,192,80,3,0,0,-7,-2,13,5,1
Arsenal v Sunderland,0,0.00,9,5,280,0,279,149,131,131,150,4,4,-4,2,-2,7,3,1,8,2,0,-1,0,248,281,33,-3,0,0,-8,-4,9,4,3
