_description,_OUTPUT,averageAgeDiff,shotTotalDiff,shotOnGoalDiff,passTotalDiff,passLongDiff,passSuccessDiff,passForwardDiff,passBackwardDiff,passTargetFinalThirdDiff,passTargetMiddleThirdDiff,passTargetDefensiveThirdDiff,cornerFavourDiff,cornerAgainstDiff,foulReceivedDiff,foulCommitedDiff,assistShotDiff,assistShotIntentionalDiff,assistShotIntentionalGoalDiff,crossFavourTotalDiff,crossFavourSuccessDiff,crossAgainstTotalDiff,offsideCommittedDiff,offsideReceivedDiff,possessionAttackDiff,possessionTotalDiff,possessionDefenceDiff,interceptionDiff,cardYellowDiff,cardRedDiff,tackleTotalDiff,tackleSuccessDiff,dribbleTotalDiff,dribbleSuccessDiff,goalDiff
Arsenal v Aston Villa,2,-3.6999999999999957,4,5,113,-4,119,75,47,27,67,30,6,-6,-3,3,3,2,-2,10,2,0,-1,0,85,124,39,1,-2,0,-4,0,5,4,-2
Arsenal v Birmingham,0,-5.200000000000003,5,3,85,-26,96,78,6,14,54,18,3,-3,-6,6,2,2,-1,3,-1,0,1,0,59,104,45,1,1,0,-16,-9,10,7,0
Arsenal v Blackburn,1,-0.19999999999999574,5,4,145,1,155,98,64,89,74,-4,4,-4,0,0,6,5,0,13,3,0,-1,0,164,152,-12,2,-2,0,-15,-11,7,4,0
Arsenal v Blackpool,0,-0.7000000000000028,13,5,-13,-27,7,-1,-11,40,-27,-25,0,0,-1,1,9,7,1,1,2,0,0,0,93,28,-65,9,0,-1,-7,0,9,7,3
Arsenal v Bolton,0,-2.3999999999999986,6,2,73,-20,95,59,21,7,48,28,2,-2,-1,1,7,4,-1,-2,-1,0,1,0,32,91,59,1,0,0,-19,-15,10,4,0
Arsenal v Chelsea,0,-1.1999999999999957,2,0,120,-13,122,73,51,81,53,-9,-1,1,6,-6,2,2,1,5,0,0,-1,0,147,131,-16,1,-1,0,4,5,-2,1,1
Arsenal v Everton,0,-1.4000000000000021,4,0,59,-18,47,51,17,-1,50,18,0,0,2,-2,5,4,0,-1,0,0,0,0,49,71,22,-1,1,0,-3,-3,2,0,-1
Arsenal v Fulham,0,-4.800000000000001,5,4,56,-13,63,64,0,16,31,19,1,-1,-2,2,3,5,0,7,6,0,-5,0,66,63,-3,1,0,0,-7,-2,7,5,0
Arsenal v Liverpool,1,0.0,5,3,71,-18,76,63,31,59,38,-1,3,-3,1,-1,7,4,0,19,2,0,0,0,97,84,-13,-1,-2,0,-10,-5,12,5,0
Arsenal v Man City,1,-2.200000000000003,4,7,120,-2,127,71,49,62,67,-9,2,-2,5,-5,6,0,0,-2,-1,0,1,0,131,121,-10,2,-2,0,-6,-5,-2,1,0
