_description,_OUTPUT,averageAgeDiff,shotTotalDiff,shotOnGoalDiff,passTotalDiff,passLongDiff,passSuccessDiff,passForwardDiff,passBackwardDiff,passTargetFinalThirdDiff,passTargetMiddleThirdDiff,passTargetDefensiveThirdDiff,cornerFavourDiff,cornerAgainstDiff,foulReceivedDiff,foulCommitedDiff,assistShotDiff,assistShotIntentionalDiff,assistShotIntentionalGoalDiff,crossFavourTotalDiff,crossFavourSuccessDiff,crossAgainstTotalDiff,offsideCommittedDiff,offsideReceivedDiff,possessionAttackDiff,possessionTotalDiff,possessionDefenceDiff,interceptionDiff,cardYellowDiff,cardRedDiff,tackleTotalDiff,tackleSuccessDiff,dribbleTotalDiff,dribbleSuccessDiff,goalDiff
AC Milan v Bari,1,3.0,2,1,162,-7,158,101,79,79,94,6,3,-3,3,-3,-1,-1,-1,13,3,0,2,0,174,152,-22,-4,-1,0,-5,-3,2,2,-1
AC Milan v Bologna,0,2.3999999999999986,7,3,126,11,133,75,56,36,73,22,4,-4,2,-2,5,3,0,6,0,0,0,0,81,138,57,3,-1,0,-10,-6,5,4,1
AC Milan v Brescia,0,1.8000000000000043,7,2,145,-4,142,86,62,64,54,29,-2,2,-1,1,4,1,1,-1,-3,0,1,0,102,146,44,-1,-1,0,3,0,-3,-3,3
AC Milan v Cagliari,0,4.399999999999999,0,2,110,10,109,45,52,-3,64,38,1,-1,5,-5,1,3,1,-11,1,0,0,0,35,105,70,-7,0,0,-4,1,6,5,2
AC Milan v Catania,1,1.2000000000000028,-6,-5,140,26,144,97,53,111,55,-14,1,-1,0,0,-1,0,1,15,4,0,0,0,185,145,-40,1,0,0,-5,-6,2,-1,0
AC Milan v Cesena,0,-1.1000000000000014,4,2,38,-12,32,35,0,22,-1,11,-1,1,-3,3,4,2,0,-5,1,0,0,0,39,18,-21,-1,1,0,-1,1,5,2,-1
AC Milan v Chievo,0,1.1000000000000014,-2,-1,70,10,75,32,29,-16,56,21,0,0,1,-1,-1,0,2,-9,-2,0,0,0,4,70,66,-4,-1,0,4,2,-2,-2,2
AC Milan v Fiorentina,0,3.0,4,0,47,5,53,26,21,35,34,-19,2,-2,0,0,3,0,0,1,-2,0,0,0,59,52,-7,2,1,0,1,-1,1,-2,1
AC Milan v Genoa,0,1.0,2,3,40,-9,40,11,25,22,4,9,-3,3,1,-1,2,2,0,-11,0,0,2,0,31,40,9,-3,0,0,-4,-4,3,0,0
AC Milan v Inter,0,-1.1000000000000014,2,3,-35,-5,-40,-21,-11,-7,-28,2,-1,1,-3,3,2,0,0,1,2,0,2,0,-38,-38,0,-2,0,0,6,3,-4,-3,1
AC Milan v Juventus,2,2.799999999999997,4,1,89,12,89,44,54,41,30,26,3,-3,3,-3,4,5,-1,5,1,0,2,0,64,93,29,1,1,0,6,3,-2,-3,-1
AC Milan v Lazio,1,-0.5,1,-1,50,11,38,44,6,42,4,5,-1,1,3,-3,3,4,0,1,2,0,4,0,41,36,-5,-8,0,0,-1,-2,1,-1,0
AC Milan v Lecce,0,2.5999999999999943,13,5,154,13,165,92,71,72,53,39,5,-5,-1,1,9,11,2,6,6,0,-1,0,136,170,34,0,0,0,-13,-8,12,5,3
AC Milan v Napoli,0,1.2000000000000028,5,2,124,-3,121,80,43,40,63,22,0,0,-4,4,2,0,0,5,1,0,1,0,94,132,38,1,1,0,-10,-7,7,3,0
AC Milan v Palermo,0,4.099999999999998,-3,-3,51,20,48,19,34,32,16,4,-3,3,-4,4,-3,0,1,2,-1,0,1,0,55,57,2,5,1,0,4,4,-4,0,1
AC Milan v Parma,0,0.6000000000000014,3,4,66,13,68,40,23,28,47,-14,2,-2,1,-1,3,3,2,-5,0,0,2,0,66,69,3,-6,0,0,5,4,1,-1,2
AC Milan v Roma,2,0.19999999999999574,4,3,24,9,18,3,23,-21,41,8,2,-2,0,0,3,3,0,4,-1,0,3,0,-11,19,30,-3,-1,0,0,3,-2,3,0
AC Milan v Sampdoria,0,2.700000000000003,0,-1,242,23,240,148,111,121,101,37,4,-4,1,-1,-2,-2,0,15,3,0,2,0,176,247,71,-3,0,0,1,1,1,0,1
AC Milan v Udinese,1,1.5,-3,0,17,8,24,8,14,16,2,2,-5,5,-3,3,-4,-4,1,0,3,0,-1,0,35,22,-13,-1,0,0,2,3,6,1,0
Bari v AC Milan,2,-4.0,0,1,28,7,30,24,10,21,-13,26,0,0,2,-2,0,0,-2,5,1,0,0,0,4,26,22,-4,1,0,0,-1,-2,-1,-2
Bari v Bologna,2,-0.40000000000000213,-1,2,-134,13,-134,-79,-55,-55,-102,20,-2,2,2,-2,1,1,-1,-10,0,0,3,0,-133,-127,6,5,0,0,2,3,0,1,-1
Bari v Brescia,0,-1.2999999999999972,-2,1,80,30,71,45,31,-7,46,36,1,-1,3,-3,3,3,1,-2,1,0,-1,0,-28,62,90,-4,-2,0,15,7,-7,-8,0
Bari v Cagliari,1,1.5,-2,-1,-14,28,-16,-9,-4,5,-57,35,1,-1,-2,2,1,0,0,-1,-1,0,1,0,-51,-16,35,-1,0,0,3,4,2,1,0
Bari v Catania,1,0.09999999999999432,2,3,58,18,72,20,47,52,4,12,6,-6,3,-3,4,1,1,5,1,0,0,0,95,81,-14,10,0,0,-9,-8,7,1,0
Bari v Cesena,1,-1.0999999999999943,-4,-1,-9,-12,-8,5,-23,-33,-7,21,-5,5,-4,4,-1,-2,0,-8,0,0,2,0,-51,-12,39,2,1,0,-1,1,6,2,0
Bari v Chievo,2,-2.200000000000003,2,2,19,-6,18,13,9,-6,1,27,0,0,5,-5,2,1,0,0,2,0,-1,0,-2,5,7,-3,-1,0,-9,-7,5,2,0
Bari v Fiorentina,1,1.0,1,1,47,1,56,44,17,46,15,2,1,-1,0,0,-1,0,-1,12,3,0,1,0,65,47,-18,0,0,0,-9,-4,9,5,-1
Bari v Genoa,1,-0.6000000000000014,-4,-2,-30,-6,-28,-7,-13,9,-37,7,-2,2,1,-1,-3,-3,0,0,-2,0,2,0,-34,-38,-4,4,2,0,3,1,-8,-2,0
Bari v Inter,2,-1.7999999999999972,-1,-1,-39,7,-33,-20,-15,-2,-16,-21,-1,1,-2,2,-2,1,0,2,2,0,2,0,-2,-28,-26,3,1,0,0,-1,-3,-1,0
Bari v Juventus,0,0.5999999999999943,-1,-1,52,15,46,10,39,-43,5,85,-2,2,4,-4,0,-1,0,-11,-4,0,3,0,-63,39,102,1,-1,0,3,0,-7,-3,1
Bari v Lazio,2,-0.7000000000000028,3,4,74,10,70,3,69,11,26,35,2,-2,-4,4,0,0,0,-5,1,0,0,0,-1,75,76,9,0,0,1,-1,1,-2,0
Bari v Lecce,2,-1.5,-5,-5,51,-3,48,18,19,-12,24,25,-4,4,3,-3,-2,-1,0,-9,-1,0,-2,0,13,52,39,-4,0,0,-5,-2,2,3,0
Bari v Napoli,2,-0.5,-5,-2,-6,19,-15,-7,5,13,-45,29,-2,2,-7,7,-5,-3,-1,-1,-3,0,0,0,-33,-22,11,6,2,0,-3,-3,2,0,-1
Bari v Palermo,1,-0.5,-6,-2,-81,16,-74,-50,-40,-64,-85,55,2,-2,1,-1,-4,-1,0,-2,0,0,0,0,-127,-63,64,5,-1,0,-10,-3,5,7,-1
