_description,_OUTPUT,averageAgeDiff,shotTotalDiff,shotOnGoalDiff,passTotalDiff,passLongDiff,passSuccessDiff,passForwardDiff,passBackwardDiff,passTargetFinalThirdDiff,passTargetMiddleThirdDiff,passTargetDefensiveThirdDiff,cornerFavourDiff,cornerAgainstDiff,foulReceivedDiff,foulCommitedDiff,assistShotDiff,assistShotIntentionalDiff,assistShotIntentionalGoalDiff,crossFavourTotalDiff,crossFavourSuccessDiff,crossAgainstTotalDiff,offsideCommittedDiff,offsideReceivedDiff,possessionAttackDiff,possessionTotalDiff,possessionDefenceDiff,interceptionDiff,cardYellowDiff,cardRedDiff,tackleTotalDiff,tackleSuccessDiff,dribbleTotalDiff,dribbleSuccessDiff,goalDiff
Arsenal v Aston Villa,0,0.8000000000000007,9,3,79,-3,78,69,13,52,57,-25,1,-1,-1,1,6,2,0,6,0,0,1,0,109,81,-28,-3,0,0,2,2,0,0,1
Arsenal v Chelsea,2,-1.0999999999999979,2,2,-37,-21,-31,-7,-14,38,-42,-20,3,-3,-3,3,3,2,0,12,-1,0,-2,0,50,-37,-87,7,0,0,0,-2,5,-2,0
Arsenal v Everton,1,-2.099999999999998,-1,-2,-4,-1,-2,2,-9,14,-35,13,0,0,1,-1,-1,-1,0,1,0,0,0,0,-13,4,17,4,-2,0,3,-1,3,-4,0
Arsenal v Fulham,1,-4.199999999999996,-1,-1,36,-8,32,27,12,33,7,0,-2,2,2,-2,0,0,0,3,-2,0,-1,0,45,35,-10,-5,-1,0,-1,1,4,2,0
Arsenal v Liverpool,1,-0.3999999999999986,1,4,88,-4,89,58,47,83,33,-11,4,-4,-2,2,-1,0,-1,13,1,0,-1,0,174,87,-87,-2,1,0,-8,-2,8,6,-1
Arsenal v Man City,2,-0.6999999999999993,-11,-6,-162,-7,-156,-100,-64,-45,-124,6,-4,4,1,-1,-7,-6,-1,-4,-3,0,0,0,-110,-152,-42,11,1,1,-8,-5,8,3,-2
Arsenal v Man Utd,1,-1.2999999999999972,1,2,51,9,45,37,15,78,-12,-13,3,-3,-1,1,2,-2,1,4,-3,0,0,0,94,39,-55,2,-2,0,3,2,2,-1,0
Arsenal v Newcastle,0,0.29999999999999716,-5,-4,-45,-21,-52,-25,-32,-9,-77,27,-3,3,-4,4,-3,-1,1,-13,-3,0,1,0,-43,-48,-5,-4,0,0,-4,-1,6,3,0
Arsenal v Norwich,0,-1.9000000000000021,4,2,135,-6,138,90,52,54,91,-4,4,-4,1,-1,5,4,0,7,3,0,0,0,131,143,12,-3,1,0,1,3,3,2,0
Arsenal v QPR,0,-2.0,4,4,162,5,158,95,74,82,92,-4,-1,1,-2,2,3,2,0,3,3,0,-3,0,154,157,3,0,0,0,-1,-1,1,0,0
Arsenal v Reading,0,-0.6000000000000014,16,10,205,-2,204,121,81,113,93,-1,4,-4,1,-1,7,4,0,4,2,0,0,0,203,211,8,-2,-1,0,-1,0,2,1,1
Arsenal v Southampton,0,-0.3000000000000007,6,4,44,-3,53,50,10,34,31,-7,1,-1,1,-1,5,7,1,8,5,0,0,0,78,47,-31,-6,0,0,-10,-6,8,4,-1
