_description,_OUTPUT,averageAgeDiff,shotTotalDiff,shotOnGoalDiff,passTotalDiff,passLongDiff,passSuccessDiff,passForwardDiff,passBackwardDiff,passTargetFinalThirdDiff,passTargetMiddleThirdDiff,passTargetDefensiveThirdDiff,cornerFavourDiff,cornerAgainstDiff,foulReceivedDiff,foulCommitedDiff,assistShotDiff,assistShotIntentionalDiff,assistShotIntentionalGoalDiff,crossFavourTotalDiff,crossFavourSuccessDiff,crossAgainstTotalDiff,offsideCommittedDiff,offsideReceivedDiff,possessionAttackDiff,possessionTotalDiff,possessionDefenceDiff,interceptionDiff,cardYellowDiff,cardRedDiff,tackleTotalDiff,tackleSuccessDiff,dribbleTotalDiff,dribbleSuccessDiff,goalDiff
Augsburg v Bayern,2,-0.10,-5,-3,-106,12,-104,-65,-45,-45,-50,-18,0,0,-1,1,0,-2,0,-7,-1,0,0,0,-84,-116,-32,12,0,0,7,-1,-12,-8,-1
Augsburg v Borussia Dortmund,2,2.20,5,4,-47,5,-47,-5,-32,21,-28,-29,0,0,2,-2,4,4,0,7,3,0,1,0,-5,-65,-60,-4,0,0,9,5,-9,-4,-1
Augsburg v Mönchengladb.,1,0.50,5,3,-133,0,-122,-92,-43,8,-55,-89,0,0,-7,7,5,5,1,3,1,0,-1,0,7,-121,-128,11,1,0,4,4,0,0,1
Augsburg v Eintracht Frankfurt,0,0.10,5,3,13,-1,21,1,20,40,6,-25,2,-2,2,-2,6,6,1,6,3,0,-1,0,46,6,-40,2,3,0,0,-5,-4,-5,1
Augsburg v Fortuna Duesseldorf,2,-0.80,1,0,-3,-17,10,6,-7,42,-5,-37,2,-2,1,-1,1,2,0,4,2,0,1,0,62,-8,-70,-1,1,0,-7,-4,0,3,0
Augsburg v Freiburg,1,1.90,1,1,-36,-2,-38,-33,6,18,-44,1,0,0,-2,2,0,-1,1,6,-1,0,-1,0,11,-26,-37,4,-1,0,7,3,-3,-4,0
Augsburg v Greuther Fuerth,0,3.00,1,0,120,-6,124,67,64,36,74,23,3,-3,-1,1,0,0,0,15,2,0,0,0,87,107,20,-9,-2,0,4,2,-8,-2,1
Augsburg v Hamburg,2,1.20,5,3,-102,-17,-98,-49,-38,39,-106,-22,3,-3,0,0,4,3,-1,8,0,0,0,0,25,-87,-112,5,-2,0,3,3,0,0,-1
Augsburg v Hannover,2,-0.40,5,1,31,11,43,14,27,58,-4,-8,4,-4,1,-1,3,3,0,12,1,0,1,0,82,42,-40,8,0,0,-3,-1,2,2,0
Augsburg v Hoffenheim,0,0.80,8,4,121,7,116,69,67,49,44,43,2,-2,1,-1,6,4,1,17,5,0,2,0,88,118,30,-9,-1,0,3,7,5,4,1
Augsburg v Leverkusen,2,0.60,1,1,38,11,43,17,37,44,6,6,2,-2,6,-6,0,2,-1,12,5,0,1,0,63,36,-27,2,-1,0,-6,-4,8,2,-3
Augsburg v Mainz,1,-3.00,-5,-2,-106,-1,-111,-56,-34,-1,-51,-40,-1,1,1,-1,-5,-3,0,11,4,0,-1,0,7,-103,-110,1,-2,-1,1,2,-1,1,-1
Augsburg v Nuernberg,2,0.20,5,4,98,21,110,45,61,26,32,49,2,-2,6,-6,3,3,-1,6,2,0,2,0,55,123,68,0,-2,0,-3,1,8,4,-2
Augsburg v Schalke,1,0.30,2,-1,112,28,108,72,50,59,56,10,2,-2,5,-5,3,2,0,10,2,0,0,0,90,99,9,-2,-3,0,-9,-10,4,-1,0
Augsburg v Stuttgart,0,0.90,7,5,28,15,31,2,25,21,-4,9,6,-6,-2,2,6,6,0,4,3,0,0,0,44,20,-24,-4,1,0,7,5,-5,-2,0
Augsburg v Werder Bremen,0,0.90,-4,-2,-132,21,-142,-94,-40,8,-115,-29,-3,3,2,-2,-1,-2,2,-4,-2,0,5,0,-27,-145,-118,6,-1,0,6,1,-5,-5,1
Augsburg v Wolfsburg,1,-1.00,0,1,-109,0,-113,-63,-37,-24,-78,-1,1,-1,4,-4,1,3,0,-5,1,0,1,0,-41,-111,-70,9,1,0,-1,-8,-1,-7,0
Bayern v Augsburg,0,1.50,5,2,196,-10,196,148,62,79,107,27,4,-4,1,-1,3,3,0,7,3,0,0,0,161,222,61,0,-1,0,-16,-5,20,11,0
Bayern v Borussia Dortmund,1,2.10,0,-1,92,11,96,51,47,12,37,50,2,-2,1,-1,0,-1,0,7,-1,0,3,0,13,99,86,-4,0,0,-8,-3,2,5,0
Bayern v Mönchengladb.,1,1.80,11,6,125,10,119,67,80,78,53,16,6,-6,5,-5,9,9,0,10,7,0,2,0,119,116,-3,-4,-1,0,-5,-5,6,0,-1
Bayern v Eintracht Frankfurt,0,0.60,0,3,107,10,113,48,56,-9,61,52,2,-2,3,-3,-1,-1,1,-3,-3,0,2,0,27,102,75,1,-3,0,-4,-2,0,2,1
Bayern v Fortuna Duesseldorf,0,1.10,10,6,238,24,228,150,102,91,129,32,3,-3,0,0,9,8,0,9,5,0,1,0,207,239,32,-1,-1,0,-10,-5,9,5,0
Bayern v Freiburg,0,3.50,3,2,243,37,248,144,112,43,195,22,3,-3,6,-6,3,3,1,7,4,0,2,0,140,243,103,-9,0,0,-15,-7,8,8,1
Bayern v Greuther Fuerth,0,2.70,15,8,248,9,240,154,114,85,179,7,9,-9,4,-4,11,10,1,14,5,0,0,0,235,239,4,-5,0,0,-3,-5,2,-2,1
Bayern v Hamburg,0,3.00,10,3,44,10,58,41,23,48,-12,28,3,-3,4,-4,10,11,4,14,5,0,3,0,40,69,29,1,0,0,-3,-2,1,1,5
Bayern v Hannover,0,-0.90,3,-1,70,8,64,34,36,12,38,22,2,-2,-1,1,4,4,3,-1,2,0,0,0,10,70,60,-11,1,0,7,9,1,2,3
Bayern v Hoffenheim,0,3.70,5,2,109,10,104,60,54,40,53,21,2,-2,1,-1,5,3,0,2,2,0,1,0,79,106,27,1,0,0,-5,-4,8,1,1
Bayern v Leverkusen,2,1.30,8,4,153,10,150,89,81,88,92,-6,2,-2,4,-4,7,7,-1,13,5,0,0,0,152,149,-3,-3,0,0,-2,-4,1,-2,-1
Bayern v Mainz,0,-1.30,3,0,240,41,238,141,113,91,142,24,1,-1,4,-4,3,3,2,10,6,0,2,0,190,243,53,-6,-1,0,-6,-5,7,1,2
Bayern v Nuernberg,0,0.80,12,7,128,14,128,70,53,51,58,21,6,-6,2,-2,11,10,2,10,8,0,2,0,106,151,45,1,-1,0,-9,-5,9,4,3
Bayern v Schalke,0,1.20,7,3,234,11,244,133,111,102,143,-2,6,-6,1,-1,4,6,0,13,7,0,0,0,208,252,44,-1,0,0,-8,-3,8,5,2
Bayern v Stuttgart,0,0.20,3,0,118,9,118,63,59,90,28,7,1,-1,-1,1,4,3,0,6,2,0,-2,0,126,110,-16,-5,-1,0,0,1,0,1,2
Bayern v Werder Bremen,0,3.10,-1,0,175,17,182,108,69,36,125,18,-2,2,7,-7,1,3,2,7,1,0,5,0,122,181,59,5,-1,-1,4,1,-3,-3,2
Bayern v Wolfsburg,0,0.60,12,9,125,8,125,60,76,42,86,10,10,-10,2,-2,11,10,1,11,5,0,0,0,108,138,30,1,-1,0,-11,0,14,11,1
Borussia Dortmund v Augsburg,0,-2.20,4,2,65,-5,67,14,35,5,82,-35,-1,1,2,-2,4,5,1,-6,2,0,0,0,57,76,19,3,-1,0,0,-3,-1,-3,-1
Borussia Dortmund v Bayern,1,0.00,-2,-1,-115,-12,-115,-65,-53,-14,-62,-45,2,-2,-2,2,-2,-2,0,2,3,0,1,0,-39,-107,-68,10,-3,0,8,7,-5,-1,0
Borussia Dortmund v Mönchengladb.,0,-0.90,4,2,24,-3,40,3,37,53,23,-35,5,-5,-3,3,5,1,1,6,0,0,0,0,102,23,-79,2,0,0,-4,-5,2,-1,2
Borussia Dortmund v Eintracht Frankfurt,0,-1.10,1,0,-118,1,-111,-93,-40,-35,-34,-65,-1,1,3,-3,2,2,2,-8,-2,0,-1,0,-47,-123,-76,-2,0,0,9,6,-4,-3,2
Borussia Dortmund v Fortuna Duesseldorf,1,-0.10,9,4,194,30,182,110,87,69,116,17,3,-3,6,-6,8,8,1,4,7,0,1,0,138,191,53,-6,0,0,4,2,0,-2,1
Borussia Dortmund v Freiburg,0,0.00,5,4,107,-9,110,81,38,1,60,57,1,-1,1,-1,3,2,0,7,0,0,1,0,22,123,101,-3,-1,0,-13,-5,6,8,2
Borussia Dortmund v Greuther Fuerth,0,0.50,6,2,224,0,216,120,112,56,165,11,1,-1,2,-2,3,3,1,1,1,0,1,0,169,222,53,-1,1,0,-3,1,7,4,2
Borussia Dortmund v Hamburg,2,-1.10,1,0,18,0,16,15,7,22,3,-4,-4,4,2,-2,2,2,-1,-2,1,0,-2,0,22,10,-12,3,-2,1,-1,-5,-1,-4,-1
Borussia Dortmund v Hannover,0,-1.80,6,2,94,0,93,45,57,40,50,13,-1,1,0,0,6,6,1,7,3,0,-2,0,71,119,48,8,0,0,0,0,4,0,1
