_description,_OUTPUT,averageAgeDiff,shotTotalDiff,shotOnGoalDiff,passTotalDiff,passLongDiff,passSuccessDiff,passForwardDiff,passBackwardDiff,passTargetFinalThirdDiff,passTargetMiddleThirdDiff,passTargetDefensiveThirdDiff,cornerFavourDiff,cornerAgainstDiff,foulReceivedDiff,foulCommitedDiff,assistShotDiff,assistShotIntentionalDiff,assistShotIntentionalGoalDiff,crossFavourTotalDiff,crossFavourSuccessDiff,crossAgainstTotalDiff,offsideCommittedDiff,offsideReceivedDiff,possessionAttackDiff,possessionTotalDiff,possessionDefenceDiff,interceptionDiff,cardYellowDiff,cardRedDiff,tackleTotalDiff,tackleSuccessDiff,dribbleTotalDiff,dribbleSuccessDiff,goalDiff
Augsburg v Bayern,2,0.5,-9,-5,-211,0,-201,-94,-125,-67,-137,-16,0,0,0,0,-5,-3,-1,-1,1,0,1,0,-145,-200,-55,7,0,0,6,2,-9,-4,-1
Augsburg v Borussia Dortmund,2,2.0,-1,1,-366,3,-362,-182,-185,-51,-279,-37,0,0,-3,3,-2,-1,0,2,0,0,-2,0,-173,-367,-194,8,0,0,9,3,-7,-6,0
Augsburg v Mönchengladb.,1,2.400000000000002,4,2,-72,3,-73,-51,-16,0,-58,-12,-2,2,-3,3,3,2,0,-1,-1,0,0,0,-42,-64,-22,-1,0,0,-3,2,6,5,-1
Augsburg v Darmstadt,2,0.7999999999999972,-1,0,179,5,192,99,79,13,131,37,-1,1,-1,1,-2,-2,-1,2,-2,0,-1,0,93,173,80,-6,0,0,-10,-8,6,2,-2
Augsburg v Eintracht Frankfurt,1,2.0,3,4,3,7,6,-9,14,0,-18,24,2,-2,-9,9,2,3,0,2,0,0,-1,0,-18,-8,10,-7,1,0,6,3,0,-3,0
Augsburg v FC Cologne,1,2.5,-1,1,40,3,45,12,15,10,-11,26,-3,3,3,-3,1,1,0,-5,-2,0,0,0,-1,49,50,3,-1,0,2,3,0,1,0
Augsburg v Hamburg,2,2.400000000000002,0,-2,-48,6,-49,-23,-19,1,-66,23,0,0,5,-5,1,0,0,3,2,0,1,0,-34,-49,-15,-5,0,0,3,5,-6,2,0
Augsburg v Hannover,0,2.5,2,-1,25,9,29,6,15,-11,22,12,2,-2,4,-4,0,2,0,1,1,0,0,0,-1,33,34,4,-1,0,-5,-4,1,1,2
Augsburg v Hertha Berlin,2,2.8999999999999986,0,3,-3,-7,-13,11,-14,25,-9,-18,-1,1,-3,3,2,1,0,-2,1,0,1,0,14,-12,-26,3,0,0,2,2,-2,0,0
Augsburg v Hoffenheim,2,3.200000000000003,8,7,142,8,140,97,64,32,58,70,1,-1,-2,2,7,3,0,10,3,0,3,0,32,142,110,-3,0,0,-9,-5,3,4,0
Augsburg v Ingolstadt,2,2.6999999999999993,-4,-3,125,14,121,63,56,-35,76,78,-2,2,-2,2,-2,-2,0,-4,0,0,-1,0,-13,122,135,-3,1,0,3,6,5,3,0
Augsburg v Leverkusen,1,4.600000000000001,-3,-2,-17,0,-12,-11,-12,-58,13,20,-3,3,2,-2,-2,-2,0,-3,0,0,-2,0,-91,-6,85,0,1,0,6,6,-3,0,2
Augsburg v Mainz,1,3.8999999999999986,9,8,209,-2,206,117,102,67,99,55,5,-5,5,-5,4,2,-1,11,4,0,0,0,111,205,94,-6,-2,0,-6,-1,5,5,-1
Augsburg v Schalke,0,3.1000000000000014,0,0,-82,-11,-89,-37,-47,-1,-44,-40,-2,2,-4,4,0,0,0,-3,0,0,-1,0,-14,-97,-83,-2,1,0,17,12,-16,-5,1
Augsburg v Stuttgart,0,2.599999999999998,0,-2,87,12,96,37,45,3,43,36,-2,2,-3,3,0,0,0,-2,-1,0,-1,0,9,93,84,-1,0,0,-6,-5,11,1,1
Augsburg v Werder Bremen,2,3.5,5,4,66,8,68,44,27,20,44,8,3,-3,2,-2,2,-1,0,0,0,0,1,0,24,44,20,0,0,0,-10,-11,-1,-1,0
Augsburg v Wolfsburg,1,1.5,-1,-1,-127,2,-115,-84,-41,-4,-92,-31,-1,1,-5,5,-3,-3,0,3,0,0,0,0,-19,-120,-101,2,0,0,-1,-2,0,-1,0
Bayern v Augsburg,0,-2.900000000000002,5,4,301,-4,298,177,126,120,172,17,4,-4,-2,2,3,1,-1,9,6,0,1,0,245,292,47,-9,0,0,-5,-2,10,3,-1
Bayern v Borussia Dortmund,0,-0.5,1,-1,79,-1,81,53,45,61,25,13,0,0,0,0,-1,-1,0,11,-1,0,-1,0,101,77,-24,-1,1,0,1,2,6,1,1
Bayern v Mönchengladb.,1,1.5,1,2,20,5,18,-11,23,41,-25,-3,-2,2,3,-3,2,1,1,0,1,0,0,0,38,20,-18,-5,2,0,-3,1,5,4,1
Bayern v Darmstadt,0,-1.4000000000000021,10,8,258,-14,264,132,127,122,136,5,7,-7,1,-1,10,5,-1,9,4,0,2,0,259,255,-4,-7,1,0,-14,-8,12,6,-1
Bayern v Eintracht Frankfurt,0,1.6000000000000014,10,4,137,-9,147,61,77,29,64,44,3,-3,-1,1,8,7,0,0,1,0,4,0,56,141,85,8,-1,0,3,1,3,-2,1
Bayern v FC Cologne,0,1.0,11,8,285,-18,289,158,144,224,72,10,7,-7,-1,1,10,6,1,13,3,0,-1,0,310,282,-28,-5,0,0,-7,-7,12,0,2
Bayern v Hamburg,0,-0.3999999999999986,7,1,281,-1,278,164,123,79,210,0,4,-4,3,-3,7,6,1,8,6,0,1,0,270,287,17,-6,0,0,-7,-1,7,6,1
Bayern v Hannover,0,2.200000000000003,1,2,166,18,162,72,102,23,79,70,2,-2,1,-1,4,3,0,8,7,0,3,0,48,173,125,-2,0,0,-3,5,4,8,2
Bayern v Hertha Berlin,0,0.1999999999999993,15,8,224,-20,230,137,105,174,110,-39,6,-6,1,-1,11,9,1,11,4,0,3,0,300,221,-79,0,-2,0,-5,-5,3,0,2
Bayern v Hoffenheim,0,3.5,10,5,283,-10,287,161,139,164,121,17,5,-5,-2,2,8,4,1,14,2,0,0,0,280,275,-5,-11,0,0,-8,-4,7,4,1
Bayern v Ingolstadt,0,1.6999999999999993,-2,-2,114,-13,112,71,45,-37,87,67,-1,1,1,-1,-1,-1,0,-3,-2,0,-3,0,-25,110,135,-6,0,0,-2,-3,4,-1,0
