_description,_OUTPUT,averageAgeDiff,shotTotalDiff,shotOnGoalDiff,passTotalDiff,passLongDiff,passSuccessDiff,passForwardDiff,passBackwardDiff,passTargetFinalThirdDiff,passTargetMiddleThirdDiff,passTargetDefensiveThirdDiff,cornerFavourDiff,cornerAgainstDiff,foulReceivedDiff,foulCommitedDiff,assistShotDiff,assistShotIntentionalDiff,assistShotIntentionalGoalDiff,crossFavourTotalDiff,crossFavourSuccessDiff,crossAgainstTotalDiff,offsideCommittedDiff,offsideReceivedDiff,possessionAttackDiff,possessionTotalDiff,possessionDefenceDiff,interceptionDiff,cardYellowDiff,cardRedDiff,tackleTotalDiff,tackleSuccessDiff,dribbleTotalDiff,dribbleSuccessDiff,goalDiff
Augsburg v Bayern,0,0.90,1,3,-147,19,-158,-102,-43,-50,-88,-10,0,0,3,-3,1,0,1,-2,0,0,2,0,-104,-153,-49,4,0,0,8,6,-7,-2,1
Augsburg v Borussia Dortmund,2,1.50,5,3,-100,14,-103,-40,-59,16,-100,-13,1,-1,-2,2,5,2,-1,8,3,0,-3,0,-2,-101,-99,-4,0,0,1,4,-1,3,-1
Augsburg v Mönchengladb.,1,0.30,3,2,7,22,-4,-3,11,21,-19,7,-1,1,2,-2,2,2,-1,3,0,0,0,0,-6,-20,-14,1,0,0,13,5,-15,-8,0
Augsburg v Eintracht Braunschweig,0,-0.30,10,4,2,13,14,14,6,5,-1,13,4,-4,-4,4,5,3,1,12,2,0,0,0,-13,20,33,2,0,0,-2,1,4,3,3
Augsburg v Eintracht Frankfurt,0,1.30,8,6,104,22,96,72,49,48,46,25,2,-2,2,-2,5,5,0,4,0,0,-1,0,93,95,2,2,-1,0,6,3,-7,-3,0
Augsburg v Freiburg,0,2.20,3,0,58,24,52,32,32,4,35,25,2,-2,2,-2,2,2,0,7,0,0,-1,0,14,52,38,-3,-1,0,12,6,-10,-6,0
Augsburg v Hamburg,0,1.00,-4,-2,-15,16,-25,-19,7,-2,-38,28,0,0,-1,1,-2,0,1,-3,-1,0,0,0,-61,-36,25,-7,1,0,10,2,-12,-8,2
Augsburg v Hannover,1,-0.10,-3,-2,28,6,21,16,5,-23,38,2,-1,1,-5,5,-1,-2,0,-9,0,0,2,0,-28,22,50,-1,0,0,2,-1,-5,-3,-1
Augsburg v Hertha Berlin,1,1.20,-6,-2,94,-3,93,34,51,-36,78,44,-2,2,-1,1,-6,-1,0,-7,-3,0,0,0,-17,85,102,-5,0,0,1,2,3,1,0
Augsburg v Hoffenheim,0,2.20,4,1,33,11,19,22,9,39,-26,20,0,0,-1,1,2,0,1,5,0,0,2,0,12,15,3,-4,-1,0,9,9,-8,0,2
Augsburg v Leverkusen,2,0.70,6,3,48,15,47,50,23,60,37,-26,2,-2,4,-4,2,1,0,20,2,0,-3,0,108,35,-73,-1,-1,0,-5,-5,0,0,-1
Augsburg v Mainz,0,-1.60,2,-1,176,16,172,83,97,29,83,69,-1,1,1,-1,1,1,1,6,3,0,1,0,76,177,101,-2,-1,0,0,2,5,2,1
Augsburg v Nuernberg,2,0.70,4,4,-139,3,-140,-79,-54,30,-76,-88,2,-2,6,-6,1,2,0,5,-3,0,1,0,0,-147,-147,-2,-1,0,10,5,-7,-5,0
Augsburg v Schalke,2,1.60,2,-1,7,23,6,10,3,-24,-5,41,2,-2,2,-2,-3,-2,0,3,0,0,-1,0,-37,9,46,0,0,0,-1,1,3,2,0
Augsburg v Stuttgart,0,0.50,3,0,-57,-1,-51,-26,-16,28,-44,-26,7,-7,2,-2,4,4,2,15,5,0,0,0,15,-48,-63,5,0,0,3,0,1,-3,1
Augsburg v Werder Bremen,0,0.90,12,6,50,9,50,31,22,35,6,11,1,-1,8,-8,7,5,0,5,-1,0,1,0,42,50,8,-5,-3,0,6,7,-6,1,2
Augsburg v Wolfsburg,2,-0.20,3,7,-4,15,-13,-16,14,4,-19,11,2,-2,0,0,1,3,-1,1,0,0,1,0,-2,-27,-25,0,0,0,10,1,-11,-9,-1
