_description,_OUTPUT,averageAgeDiff,shotTotalDiff,shotOnGoalDiff,passTotalDiff,passLongDiff,passSuccessDiff,passForwardDiff,passBackwardDiff,passTargetFinalThirdDiff,passTargetMiddleThirdDiff,passTargetDefensiveThirdDiff,cornerFavourDiff,cornerAgainstDiff,foulReceivedDiff,foulCommitedDiff,assistShotDiff,assistShotIntentionalDiff,assistShotIntentionalGoalDiff,crossFavourTotalDiff,crossFavourSuccessDiff,crossAgainstTotalDiff,offsideCommittedDiff,offsideReceivedDiff,possessionAttackDiff,possessionTotalDiff,possessionDefenceDiff,interceptionDiff,cardYellowDiff,cardRedDiff,tackleTotalDiff,tackleSuccessDiff,dribbleTotalDiff,dribbleSuccessDiff,goalDiff
AC Milan v Atalanta,2,-1.3000000000000007,2,3,82,9,93,36,50,30,45,11,-1,1,5,-5,1,-1,0,2,-1,0,0,0,78,98,20,-4,1,0,-14,-7,14,7,0
AC Milan v Bologna,0,0.1999999999999993,7,7,50,16,50,41,25,65,-13,14,3,-3,-3,3,6,6,0,12,7,0,0,0,78,73,-5,3,-2,0,-11,-4,11,7,0
AC Milan v Cagliari,0,0.7999999999999972,3,5,-26,8,-25,-14,-2,34,-27,-22,3,-3,-5,5,2,1,1,13,3,0,-2,0,36,-32,-68,-2,-1,0,0,1,0,1,1
AC Milan v Catania,0,0.3000000000000007,17,12,173,13,167,102,92,110,75,9,7,-7,7,-7,10,6,0,16,6,0,0,0,190,172,-18,1,-2,0,-4,3,6,7,0
AC Milan v Chievo,0,-2.4999999999999964,2,0,91,22,96,50,41,30,42,19,-2,2,1,-1,0,-1,0,-4,-2,0,1,0,91,83,-8,1,-1,0,1,0,3,-1,2
AC Milan v Fiorentina,2,0.1999999999999993,1,1,-21,2,-21,-4,-5,10,-3,-17,0,0,-1,1,1,1,-1,2,2,0,2,0,23,-15,-38,-4,-2,0,-11,-10,9,1,-2
AC Milan v Genoa,0,3.299999999999997,1,0,114,26,131,62,67,61,53,15,3,-3,4,-4,2,3,0,15,3,0,3,0,88,137,49,-1,-1,0,-6,-1,8,5,0
AC Milan v Inter,2,0.5,2,1,79,5,95,47,40,55,25,5,1,-1,-5,5,5,3,-1,7,2,0,0,0,84,85,1,-4,0,0,-2,-3,2,-1,-1
AC Milan v Juventus,0,-1.5,6,4,-103,-10,-88,-54,-57,-61,-18,-29,1,-1,-2,2,5,1,0,-3,0,0,0,0,-60,-91,-31,4,-1,0,-1,0,2,1,1
AC Milan v Lazio,0,-1.0000000000000036,11,2,107,1,111,63,66,80,30,20,4,-4,0,0,10,8,1,22,8,0,-1,0,110,133,23,1,1,-1,2,4,2,2,2
AC Milan v Napoli,1,-1.6999999999999993,3,0,32,5,28,37,8,23,19,3,-3,3,-6,6,3,0,0,9,6,0,-3,0,31,30,-1,-4,0,0,1,2,-4,1,0
AC Milan v Palermo,0,1.1999999999999993,-1,-2,171,15,164,87,92,71,78,34,3,-3,-1,1,2,2,0,10,3,0,-1,0,102,163,61,-3,1,0,-1,4,-5,5,1
AC Milan v Parma,0,-0.9000000000000021,-4,-1,-10,-7,17,10,-27,1,-19,1,-5,5,0,0,-1,-2,0,-4,-1,0,1,0,-35,1,36,9,0,0,6,0,-7,-6,-1
AC Milan v Pescara,0,1.8999999999999986,4,2,123,13,135,85,63,64,83,-2,2,-2,4,-4,3,1,1,19,2,0,1,0,125,143,18,-4,-1,0,-2,8,7,10,1
AC Milan v Siena,0,-3.3000000000000007,1,0,104,21,97,57,49,30,35,40,1,-1,2,-2,-1,0,0,1,1,0,0,0,54,99,45,-7,-1,0,-2,-1,5,1,0
AC Milan v Roma,1,1.6999999999999993,3,3,107,5,109,80,35,45,42,29,-3,3,-3,3,4,1,0,6,4,0,0,0,89,113,24,-4,2,1,-3,0,6,3,0
AC Milan v Sampdoria,2,1.3000000000000007,0,-1,52,8,56,35,29,55,15,-6,1,-1,0,0,0,0,0,7,2,0,-1,0,60,51,-9,1,-2,0,-6,-5,6,1,0
AC Milan v Torino,0,-0.5,6,3,21,4,28,37,0,58,40,-61,6,-6,4,-4,3,0,0,13,2,0,-1,0,151,31,-120,-7,0,0,-6,-3,9,3,0
AC Milan v Udinese,0,2.5,6,5,23,1,28,20,15,41,-12,8,6,-6,-4,4,5,4,0,12,7,0,-1,0,31,25,-6,0,-1,0,-4,-1,3,3,1
Atalanta v AC Milan,2,0.6999999999999993,-1,1,-60,1,-82,-32,-27,7,-49,-17,-1,1,-2,2,-1,1,0,3,1,0,-3,0,-25,-86,-61,-11,0,0,1,-1,-4,-2,-1
Atalanta v Bologna,1,1.6000000000000014,0,0,-58,-4,-54,-23,-26,-20,-39,9,-1,1,3,-3,0,-1,0,-1,-2,0,0,0,-41,-63,-22,-1,-1,0,0,0,-2,0,0
Atalanta v Cagliari,1,1.7999999999999972,6,2,6,-7,8,31,-2,68,-20,-18,3,-3,1,-1,4,3,0,21,6,0,0,0,56,11,-45,3,0,0,2,2,0,0,1
Atalanta v Catania,1,1.0999999999999979,0,-2,5,0,-1,22,-4,18,-13,14,-2,2,2,-2,-1,1,0,11,7,0,0,0,-12,9,21,-2,1,0,0,0,1,0,0
Atalanta v Chievo,1,2.8000000000000007,2,3,91,10,88,43,48,12,35,43,1,-1,-3,3,1,0,0,4,0,0,3,0,-10,86,96,-3,3,0,15,9,-15,-6,1
Atalanta v Fiorentina,2,1.2000000000000028,-1,1,-113,2,-115,-48,-58,1,-87,-19,2,-2,-2,2,1,1,0,6,3,0,1,0,-74,-108,-34,3,-1,0,3,3,-3,0,0
Atalanta v Genoa,2,1.1999999999999993,-3,-2,76,8,72,47,41,53,28,7,0,0,7,-7,-1,1,0,11,5,0,1,0,57,72,15,-7,0,0,5,4,-4,-1,-1
Atalanta v Inter,0,1.6000000000000014,0,-3,-100,-4,-98,-58,-36,5,-70,-28,2,-2,-4,4,2,2,1,6,5,0,2,0,-22,-73,-51,4,1,0,7,8,-9,1,1
Atalanta v Juventus,2,0.30000000000000426,4,1,-76,-8,-80,-28,-42,31,-54,-47,-2,2,0,0,4,0,-1,7,0,0,1,0,15,-66,-81,-3,-1,0,5,8,-4,3,-1
Atalanta v Lazio,2,-0.8000000000000043,0,3,67,-5,74,24,44,15,22,31,1,-1,1,-1,-2,-2,-1,3,-1,0,3,0,28,78,50,-1,-2,0,0,0,0,0,-1
Atalanta v Napoli,0,-2.1999999999999957,-2,-3,-29,6,-46,-25,-6,7,-20,-18,-5,5,-2,2,0,0,1,-7,-1,0,0,0,-12,-49,-37,-6,0,0,3,3,-2,0,1
Atalanta v Palermo,0,1.6000000000000014,-4,-4,4,8,1,-2,-5,-17,8,3,-4,4,4,-4,1,-2,0,-7,0,0,0,0,-33,-7,26,-12,1,0,4,1,-7,-3,0
