_description,_OUTPUT,averageAgeDiff,shotTotalDiff,shotOnGoalDiff,passTotalDiff,passLongDiff,passSuccessDiff,passForwardDiff,passBackwardDiff,passTargetFinalThirdDiff,passTargetMiddleThirdDiff,passTargetDefensiveThirdDiff,cornerFavourDiff,cornerAgainstDiff,foulReceivedDiff,foulCommitedDiff,assistShotDiff,assistShotIntentionalDiff,assistShotIntentionalGoalDiff,crossFavourTotalDiff,crossFavourSuccessDiff,crossAgainstTotalDiff,offsideCommittedDiff,offsideReceivedDiff,possessionAttackDiff,possessionTotalDiff,possessionDefenceDiff,interceptionDiff,cardYellowDiff,cardRedDiff,tackleTotalDiff,tackleSuccessDiff,dribbleTotalDiff,dribbleSuccessDiff,goalDiff
AC Milan v Atalanta,0,2.1000000000000014,4,5,92,-3,79,42,36,30,45,3,3,-3,-4,4,4,2,1,-9,3,0,-2,0,85,79,-6,-4,0,0,-8,-7,3,1,1
AC Milan v Bologna,1,3.4999999999999964,1,2,154,12,149,107,63,123,55,-8,3,-3,-3,3,3,0,-1,9,2,0,-2,0,176,147,-29,-4,-1,0,-7,-3,2,4,-1
AC Milan v Cagliari,0,3.5,2,2,108,9,97,57,55,84,5,22,0,0,2,-2,1,1,1,-2,-1,0,1,0,104,80,-24,-7,1,0,2,1,-3,-1,2
AC Milan v Catania,0,1.8999999999999986,4,1,58,12,57,21,31,10,25,13,2,-2,-4,4,4,6,0,-3,3,0,1,0,21,79,58,1,0,0,3,3,0,0,2
AC Milan v Cesena,0,0.20000000000000284,1,0,161,11,157,85,77,38,89,35,7,-7,0,0,-1,-2,0,6,0,0,4,0,87,163,76,-1,0,0,-10,-5,6,5,1
AC Milan v Chievo,0,0.5,5,1,180,43,181,104,97,62,90,49,5,-5,1,-1,1,-1,1,13,0,0,-1,0,110,177,67,-3,-1,0,-7,-4,4,3,4
AC Milan v Fiorentina,2,3.4999999999999964,0,1,37,21,35,30,17,12,19,18,6,-6,3,-3,-2,-1,0,16,2,0,-1,0,33,38,5,-4,0,0,14,17,0,3,1
AC Milan v Genoa,0,1.3999999999999986,1,2,130,-13,123,79,67,51,67,28,3,-3,0,0,-1,-1,0,8,0,0,0,0,53,121,68,5,2,0,-4,-3,-2,1,0
AC Milan v Inter,2,0.09999999999999432,5,-1,113,9,119,82,55,57,54,23,7,-7,-3,3,6,2,0,13,1,0,0,0,89,109,20,-5,0,0,-19,-15,12,4,0
AC Milan v Juventus,1,0.7999999999999972,0,0,-17,-6,-23,-15,-9,1,-26,0,4,-4,-3,3,-2,-1,0,-4,-1,0,-1,0,-9,-15,-6,-2,0,0,-8,-4,8,4,1
AC Milan v Lazio,1,-0.5,2,5,61,-2,62,33,22,24,14,20,2,-2,-3,3,2,0,0,-4,-2,0,4,0,37,50,13,0,1,0,6,5,-1,-1,0
